date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_cargo,portcalls,import_container,export_container
2022-08-25,2022,8,25,port1201,Singapore,Singapore,SGP,43,55,132,596995,742130
2022-08-26,2022,8,26,port1201,Singapore,Singapore,SGP,36,46,107,172792,770880
2022-08-27,2022,8,27,port1201,Singapore,Singapore,SGP,36,46,114,770138,486559
2022-08-28,2022,8,28,port1201,Singapore,Singapore,SGP,35,49,110,1080833,421907
2022-08-29,2022,8,29,port1201,Singapore,Singapore,SGP,31,52,131,478995,726538
2022-08-30,2022,8,30,port1201,Singapore,Singapore,SGP,40,54,127,627556,389103
2022-08-31,2022,8,31,port1201,Singapore,Singapore,SGP,45,57,141,368634,804963
2022-09-01,2022,9,1,port1201,Singapore,Singapore,SGP,31,45,126,703701,353457
2022-09-02,2022,9,2,port1201,Singapore,Singapore,SGP,33,45,109,769587,637772
2022-09-03,2022,9,3,port1201,Singapore,Singapore,SGP,42,56,114,982602,547974
2022-09-04,2022,9,4,port1201,Singapore,Singapore,SGP,34,39,111,765852,651200
2022-09-05,2022,9,5,port1201,Singapore,Singapore,SGP,34,48,128,265531,697241
2022-09-06,2022,9,6,port1201,Singapore,Singapore,SGP,41,50,122,930045,616695
2022-09-07,2022,9,7,port1201,Singapore,Singapore,SGP,47,58,113,535731,799405
2022-09-08,2022,9,8,port1201,Singapore,Singapore,SGP,40,58,131,614052,393853
2022-09-09,2022,9,9,port1201,Singapore,Singapore,SGP,45,61,136,607763,832889
2022-09-10,2022,9,10,port1201,Singapore,Singapore,SGP,35,47,106,439317,567412
2022-09-11,2022,9,11,port1201,Singapore,Singapore,SGP,36,44,115,568079,368952
2022-09-12,2022,9,12,port1201,Singapore,Singapore,SGP,35,53,123,669928,463018
2022-09-13,2022,9,13,port1201,Singapore,Singapore,SGP,37,48,126,613900,587227
2022-09-14,2022,9,14,port1201,Singapore,Singapore,SGP,36,47,117,444048,553661
2022-09-15,2022,9,15,port1201,Singapore,Singapore,SGP,37,47,111,728392,544394
2022-09-16,2022,9,16,port1201,Singapore,Singapore,SGP,32,46,126,450776,748055
2022-09-17,2022,9,17,port1201,Singapore,Singapore,SGP,40,48,101,455184,767635
2022-09-18,2022,9,18,port1201,Singapore,Singapore,SGP,29,35,100,509126,326252
2022-09-19,2022,9,19,port1201,Singapore,Singapore,SGP,33,43,125,469039,538181
2022-09-20,2022,9,20,port1201,Singapore,Singapore,SGP,45,56,124,545271,842498
2022-09-21,2022,9,21,port1201,Singapore,Singapore,SGP,43,52,125,884153,598687
2022-09-22,2022,9,22,port1201,Singapore,Singapore,SGP,35,42,130,447853,630681
2022-09-23,2022,9,23,port1201,Singapore,Singapore,SGP,41,61,129,564789,896379
2022-09-24,2022,9,24,port1201,Singapore,Singapore,SGP,32,46,115,671538,510796
2022-09-25,2022,9,25,port1201,Singapore,Singapore,SGP,33,46,105,348133,549494
2022-09-26,2022,9,26,port1201,Singapore,Singapore,SGP,34,49,140,1033766,417900
2022-09-27,2022,9,27,port1201,Singapore,Singapore,SGP,35,49,97,386166,924156
2022-09-28,2022,9,28,port1201,Singapore,Singapore,SGP,51,60,125,647847,666300
2022-09-29,2022,9,29,port1201,Singapore,Singapore,SGP,32,38,92,322539,396459
2022-09-30,2022,9,30,port1201,Singapore,Singapore,SGP,37,50,122,463985,818605
2022-10-01,2022,10,1,port1201,Singapore,Singapore,SGP,42,56,134,348364,1086260
2022-10-02,2022,10,2,port1201,Singapore,Singapore,SGP,35,41,105,582891,469377
2022-10-03,2022,10,3,port1201,Singapore,Singapore,SGP,45,58,150,789772,801282
2022-10-04,2022,10,4,port1201,Singapore,Singapore,SGP,46,60,138,608967,629507
2022-10-05,2022,10,5,port1201,Singapore,Singapore,SGP,41,50,125,592417,542203
2022-10-06,2022,10,6,port1201,Singapore,Singapore,SGP,39,51,112,283585,666579
2022-10-07,2022,10,7,port1201,Singapore,Singapore,SGP,35,51,103,538548,606139
2022-10-08,2022,10,8,port1201,Singapore,Singapore,SGP,44,55,133,544610,370613
2022-10-09,2022,10,9,port1201,Singapore,Singapore,SGP,36,46,118,449584,658043
2022-10-10,2022,10,10,port1201,Singapore,Singapore,SGP,34,48,135,860564,353118
2022-10-11,2022,10,11,port1201,Singapore,Singapore,SGP,43,51,137,857286,781734
2022-10-12,2022,10,12,port1201,Singapore,Singapore,SGP,42,51,111,448582,679187
2022-10-13,2022,10,13,port1201,Singapore,Singapore,SGP,37,50,126,395298,861273
2022-10-14,2022,10,14,port1201,Singapore,Singapore,SGP,35,45,105,746670,508347
2022-10-15,2022,10,15,port1201,Singapore,Singapore,SGP,40,53,129,493716,695803
2022-10-16,2022,10,16,port1201,Singapore,Singapore,SGP,25,33,98,184960,458364
2022-10-17,2022,10,17,port1201,Singapore,Singapore,SGP,41,61,141,376753,779011
